#He so k la
3.0
#Number of Nodes
9
# list of nodes 
#x #y #z 
174.03418 152.67963429 0
161.63486517 298.89198315 0
222.46416071 52.11299286 0
284.56693293 319.54534268 0
326.98394915 80.97629492 0
59.82210556 180.56869167 0
69.87926418 52.73740299 0
48.24987234 322.26145319 0
292.51679859 193.75453239 0
#nguong BER 
0.001
#Ma tran yeu cau D 
#source_index dest_index bw don vi Mbps 
6 7 225
4 9 251
7 9 118
2 6 275
4 8 133
1 7 121
1 9 190
1 3 190
2 8 144
3 5 258
1 2 220
5 9 266
6 9 230
4 6 140
8 9 276
2 3 210
2 4 261
5 7 289
